tool ,nthreads ,size ,repetitions ,usec,speedup,,,, 
Pthreads,1,1000000,2000,5577281,"0,0000",,,, 
Pthreads,2,500000,2000,2819439,"1,9782",,,, 
Pthreads,4,250000,2000,1482222,"3,7628",,,, 
Pthreads,6,166667,2000,1026981,"5,4308",,,, 
Pthreads,1,6000000,2000,33640613,"0,0000",,,, 
Pthreads,2,3000000,2000,16912392,"1,9891",,,, 
Pthreads,4,1500000,2000,8784468,"3,8296",,,, 
Pthreads,6,1000000,2000,6378443,"5,2741",,,, 
Pthreads,1,600000,1000,1694027,"0,0000",,,,
Pthreads,2,300000,1000,849157,"1,9950",,,, 
Pthreads,4,150000,1000,430100,"3,9387",,,, 
Pthreads,6,100000,1000,312729,"5,4169",,,, 
Pthreads,1,6000000,4000,67352580,"0,0000",,,, 
Pthreads,2,3000000,4000,33648448,"2,0017",,,, 
Pthreads,4,1500000,4000,17397380,"3,8714",,,, 
Pthreads,6,1000000,4000,12884853,"5,2273",,,, 
Pthreads,1,6000,1000000,16737025,"0,0000",,,, 
Pthreads,2,3000,1000000,8360447,"2,0019",,,, 
Pthreads,4,1500,1000000,4258185,"3,9306",,,, 
Pthreads,6,1000,1000000,3050845,"5,4860",,,, 
,,,,,,,,, 
